city,city_cn,province,mean_annual_precip,mean_wet_days,mean_light_amount,mean_moderate_amount,mean_heavy_amount,mean_extreme_amount,mean_light_days,mean_moderate_days,mean_heavy_days,mean_extreme_days,mean_light_amount_ratio,mean_moderate_amount_ratio,mean_heavy_amount_ratio,mean_extreme_amount_ratio,mean_max_1day_precip
Changsha,长沙,Hunan,1592.236,197.76,409.556,578.816,406.808,197.056,145.68,37.16,12.08,2.84,0.264116,0.365984,0.255154,0.114745,79.304
Jingzhou,荆州,Hubei,1224.392,166.36,352.472,418.472,297.248,156.2,127.84,27.4,8.96,2.16,0.295602,0.344088,0.237688,0.122621,76.228
Jiujiang,九江,Jiangxi,1575.716,194.04,398.12,556.612,419.68,201.304,143.24,35.36,12.64,2.8,0.260842,0.35503,0.262382,0.121745,85.34
Nanchang,南昌,Jiangxi,1526.092,186.88,400.848,567.976,386.336,170.932,137.44,35.48,11.56,2.4,0.266462,0.371647,0.250868,0.111023,77.316
Wuhan,武汉,Hubei,1336.288,167.36,338.124,417.332,369.128,211.704,127.48,26.4,10.76,2.72,0.262674,0.319909,0.272988,0.144429,94.004
Yichang,宜昌,Hubei,1134.428,180.12,377.512,383.596,253.324,119.996,146.16,24.96,7.36,1.64,0.343277,0.341464,0.216935,0.098324,77.492
Yueyang,岳阳,Hunan,1457.796,184.52,396.168,512.116,375.06,174.452,138.44,32.36,11.0,2.72,0.280818,0.35445,0.25478,0.109952,70.432
